epoch,train_loss,val_mae_C,seg
1,0.238998755740809,1.0828324556350708,762.5
2,0.17163630152039308,1.0571260452270508,758.8
3,0.16793025117588878,1.0445663928985596,771.4
4,0.16491604891493386,1.0348044633865356,766.8
5,0.1627720857337909,1.0315853357315063,763.0
6,0.16067110056786918,1.0297483205795288,766.1
7,0.1592939487140464,1.0202531814575195,757.9
8,0.15861263385771437,1.021862506866455,755.1
9,0.1575419086386397,1.008969783782959,760.6
10,0.15682870282448183,1.006786584854126,755.1
11,0.15636396781798234,1.0083537101745605,756.7
12,0.15573295423995281,1.0157848596572876,772.1
13,0.15525941574470345,1.006946086883545,760.0
14,0.1547690737733715,1.0222114324569702,756.8
15,0.15437927611681676,1.0163755416870117,759.9
16,0.1539254055033316,1.0103591680526733,758.4
17,0.1533995984801636,1.0154987573623657,757.9
18,0.15299289882687264,1.0118293762207031,760.3
