Modelo,Escenario,Horizonte (h),Estación,MAE (°C),RMSE (°C),MAPE (%),R²
A3T-GCN,corto,3,Belisario,0.7357,1.0313,5.1962,0.8936
A3T-GCN,corto,3,Carapungo,0.6541,0.892,4.0905,0.9118
A3T-GCN,corto,3,Cotocollao,0.608,0.8319,4.2061,0.9157
A3T-GCN,corto,3,ElCamal,0.6543,0.9098,4.4984,0.8828
A3T-GCN,corto,3,LosChillos,0.8667,1.2284,5.1723,0.8896
A3T-GCN,corto,3,Tumbaco,0.8193,1.1207,4.7535,0.901
A3T-GCN,medio,48,Belisario,1.0512,1.3866,7.6581,0.8077
A3T-GCN,medio,48,Carapungo,0.8511,1.1602,5.525,0.8509
A3T-GCN,medio,48,Cotocollao,0.873,1.1502,6.231,0.8389
A3T-GCN,medio,48,ElCamal,1.0015,1.312,7.0212,0.7563
A3T-GCN,medio,48,LosChillos,1.1883,1.6249,7.4004,0.8068
A3T-GCN,medio,48,Tumbaco,1.1378,1.5456,6.8806,0.8118
A3T-GCN,largo,72,Belisario,1.1155,1.4901,7.8062,0.7779
A3T-GCN,largo,72,Carapungo,1.0371,1.4117,6.4222,0.7792
A3T-GCN,largo,72,Cotocollao,0.9153,1.2409,6.271,0.8125
A3T-GCN,largo,72,ElCamal,0.9469,1.253,6.5611,0.7777
A3T-GCN,largo,72,LosChillos,1.2563,1.7121,7.5734,0.7855
A3T-GCN,largo,72,Tumbaco,1.2549,1.6883,7.326,0.7754
DCRNN,corto,3,Belisario,0.6503,0.9226,4.5561,0.9149
DCRNN,corto,3,Carapungo,0.5411,0.7286,3.4825,0.9412
DCRNN,corto,3,Cotocollao,0.5481,0.7602,3.7712,0.9296
DCRNN,corto,3,ElCamal,0.6025,0.8592,4.1141,0.8955
DCRNN,corto,3,LosChillos,0.7531,1.0987,4.4649,0.9117
DCRNN,corto,3,Tumbaco,0.6786,0.9933,3.9568,0.9223
DCRNN,medio,48,Belisario,1.0133,1.3367,7.4303,0.8213
DCRNN,medio,48,Carapungo,0.7671,1.0267,5.0103,0.8832
DCRNN,medio,48,Cotocollao,0.8027,1.0857,5.7168,0.8565
DCRNN,medio,48,ElCamal,0.8821,1.165,6.1713,0.8079
DCRNN,medio,48,LosChillos,1.1262,1.5724,7.0537,0.8191
DCRNN,medio,48,Tumbaco,1.0276,1.4547,6.2773,0.8333
DCRNN,largo,72,Belisario,1.0187,1.4016,7.2566,0.8035
DCRNN,largo,72,Carapungo,0.8654,1.1751,5.532,0.847
DCRNN,largo,72,Cotocollao,0.8314,1.1387,5.8196,0.8421
DCRNN,largo,72,ElCamal,0.8898,1.1874,6.1083,0.8004
DCRNN,largo,72,LosChillos,1.2038,1.6303,7.3638,0.8056
DCRNN,largo,72,Tumbaco,1.1479,1.5515,6.8046,0.8103
